ID,images,time origin,amplitude,time delays,magnifications,redshift,noise level
1265,3,55000.0,0.018,[ 0.   12.95 27.9 ],[1.35 1.98 1.22],1.2436,0.1561
1266,3,55000.0,0.0837,[ 0.    8.88 18.34],[1.22 1.69 1.54],1.2137,0.0301
1267,1,55000.0,0.0094,[0],[1.],1.4084,0.1384
1268,1,55000.0,0.0065,[0],[1.87],1.7441,0.0485
1269,1,55000.0,0.0825,[0],[1.46],1.6434,0.1152
1270,1,55000.0,0.0674,[0],[1.47],1.8212,0.1665
1271,3,55000.0,0.0191,[ 0.   14.61 21.  ],[1.41 1.59 1.66],1.8331,0.1894
1272,1,55000.0,0.0871,[0],[1.45],1.1575,0.1805
1273,2,55000.0,0.0359,[0.   6.79],[1.91 1.47],1.7799,0.1064
1274,3,55000.0,0.0458,[ 0.   13.67 27.45],[1.76 1.86 1.1 ],1.3913,0.0904
1275,3,55000.0,0.0008,[ 0.    7.75 18.45],[1.58 1.59 1.48],1.7167,0.1262
1276,3,55000.0,0.0744,[ 0.   11.47 17.62],[1.47 1.55 1.45],1.4961,0.0045
1277,1,55000.0,0.0246,[0],[1.47],1.2502,0.1409
1278,1,55000.0,0.0682,[0],[1.16],1.3093,0.0883
1279,1,55000.0,0.0128,[0],[1.76],1.2798,0.0322
1280,1,55000.0,0.055,[0],[1.],1.2929,0.1735
1281,3,55000.0,0.0005,[ 0.    8.86 18.64],[1.42 1.08 1.77],1.399,0.1295
1282,2,55000.0,0.046,[ 0.   10.32],[1.52 1.06],1.3135,0.0421
1283,1,55000.0,0.0741,[0],[1.45],1.499,0.1211
1284,3,55000.0,0.0391,[ 0.   12.93 18.37],[1.81 1.45 1.88],1.1734,0.1828
1285,1,55000.0,0.0702,[0],[1.83],1.8114,0.0946
1286,4,55000.0,0.0008,[ 0.   12.44 23.13 37.99],[1.95 1.81 1.93 1.47],1.2657,0.1264
1287,3,55000.0,0.0545,[ 0.   11.73 23.44],[1.06 1.89 1.27],1.8509,0.0319
1288,1,55000.0,0.0451,[0],[1.41],1.0931,0.164
1289,2,55000.0,0.0865,[0.   8.88],[1.13 1.69],1.6336,0.0812
1290,1,55000.0,0.0846,[0],[1.95],1.1379,0.0628
1291,1,55000.0,0.0624,[0],[1.02],1.3549,0.048
1292,1,55000.0,0.0922,[0],[1.39],1.2265,0.0233
1293,2,55000.0,0.0123,[ 0.   14.49],[1.19 1.82],1.8118,0.0456
1294,1,55000.0,0.0014,[0],[1.98],1.7971,0.0275
1295,4,55000.0,0.0495,[ 0.   12.03 26.16 40.99],[1.09 1.67 1.99 1.41],1.1278,0.0678
1296,4,55000.0,0.0444,[ 0.    5.39 17.61 28.11],[1.81 1.05 1.74 1.22],1.2349,0.0088
1297,1,55000.0,0.0904,[0],[1.18],1.1374,0.0162
1298,3,55000.0,0.0735,[ 0.    5.8  18.15],[1.71 1.96 1.05],1.7172,0.0041
1299,4,55000.0,0.0093,[ 0.    5.08 10.82 22.83],[1.21 1.01 1.31 1.84],1.4563,0.1445
1300,4,55000.0,0.0761,[ 0.    8.56 17.27 26.11],[1.57 1.23 1.82 1.52],1.0511,0.1295
1301,4,55000.0,0.0748,[ 0.   12.07 21.   32.45],[1.28 1.05 1.77 1.94],1.1806,0.1242
1302,1,55000.0,0.0102,[0],[1.46],1.002,0.0448
1303,2,55000.0,0.0317,[ 0.   13.23],[1.89 1.62],1.3622,0.0272
1304,2,55000.0,0.096,[ 0.   13.67],[1.14 1.83],1.6203,0.0218
1305,1,55000.0,0.0878,[0],[2.],1.7267,0.1825
1306,1,55000.0,0.0606,[0],[1.33],1.9329,0.1935
1307,2,55000.0,0.0698,[0.   6.25],[1.92 1.67],1.0093,0.0367
1308,1,55000.0,0.0962,[0],[1.92],1.6311,0.0083
1309,1,55000.0,0.059,[0],[1.],1.7377,0.0722
1310,2,55000.0,0.0415,[0.   7.37],[1.79 1.36],1.0556,0.0594
1311,1,55000.0,0.0401,[0],[1.96],1.905,0.0859
1312,1,55000.0,0.0321,[0],[1.5],1.0389,0.1841
1313,2,55000.0,0.0583,[ 0.   13.73],[1.97 1.03],1.6223,0.1387
1314,1,55000.0,0.0783,[0],[1.99],1.8129,0.1749
1315,3,55000.0,0.0548,[ 0.    7.23 15.99],[1.45 1.8  1.18],1.6416,0.1507
1316,1,55000.0,0.0859,[0],[1.14],1.1816,0.052
1317,1,55000.0,0.0827,[0],[1.97],1.8802,0.0395
1318,4,55000.0,0.0789,[ 0.   10.17 17.48 23.58],[1.43 1.98 1.04 1.17],1.1848,0.0146
1319,4,55000.0,0.0469,[ 0.   10.03 17.96 25.19],[1.29 1.76 1.32 1.65],1.7116,0.1939
1320,2,55000.0,0.0234,[ 0.   10.53],[1.15 1.11],1.9493,0.0944
1321,1,55000.0,0.0603,[0],[1.59],1.7548,0.0837
1322,1,55000.0,0.0985,[0],[1.66],1.7811,0.1057
1323,1,55000.0,0.0787,[0],[1.11],1.6006,0.0965
1324,3,55000.0,0.047,[ 0.   10.7  23.66],[1.25 1.67 2.  ],1.9905,0.1088
1325,3,55000.0,0.0516,[ 0.    9.54 20.13],[1.96 1.95 1.56],1.6295,0.0377
1326,4,55000.0,0.0034,[ 0.   14.02 20.45 35.32],[1.75 1.04 1.55 1.37],1.1583,0.0215
1327,1,55000.0,0.0673,[0],[1.48],1.2751,0.1203
1328,3,55000.0,0.0286,[ 0.   12.08 24.44],[1.91 1.53 2.  ],1.0703,0.068
1329,1,55000.0,0.0965,[0],[1.07],1.2862,0.0288
1330,1,55000.0,0.0273,[0],[1.01],1.9481,0.0361
1331,1,55000.0,0.0507,[0],[1.63],1.5401,0.0339
1332,1,55000.0,0.008,[0],[1.27],1.5209,0.0913
1333,1,55000.0,0.0973,[0],[1.71],1.2969,0.1043
1334,1,55000.0,0.0825,[0],[1.87],1.5234,0.0394
1335,1,55000.0,0.0397,[0],[1.77],1.8645,0.1506
1336,1,55000.0,0.0774,[0],[1.86],1.6257,0.062
1337,3,55000.0,0.0696,[ 0.    9.66 15.01],[1.51 1.9  1.5 ],1.8564,0.1273
1338,4,55000.0,0.0636,[ 0.   11.72 21.68 29.23],[1.83 1.64 1.67 1.97],1.6338,0.1367
1339,1,55000.0,0.0136,[0],[1.03],1.1272,0.1021
1340,1,55000.0,0.0629,[0],[1.1],1.7419,0.0058
1341,4,55000.0,0.023,[ 0.   10.59 23.68 38.35],[1.23 1.38 1.14 1.19],1.1415,0.112
1342,1,55000.0,0.0148,[0],[1.4],1.802,0.1796
1343,2,55000.0,0.0092,[0.   9.06],[1.44 1.32],1.4088,0.0589
1344,4,55000.0,0.049,[ 0.    6.74 18.43 28.91],[1.4  1.69 1.58 1.21],1.279,0.0958
1345,3,55000.0,0.0942,[ 0.    8.53 18.49],[1.59 1.53 1.42],1.582,0.1866
1346,1,55000.0,0.0868,[0],[1.04],1.5243,0.1779
1347,2,55000.0,0.0057,[ 0.  13.4],[1.99 1.19],1.9306,0.0323
1348,4,55000.0,0.0482,[ 0.    9.8  21.93 32.69],[1.89 1.89 1.64 1.88],1.512,0.0667
1349,1,55000.0,0.0518,[0],[1.76],1.021,0.1237
1350,3,55000.0,0.0659,[ 0.   13.14 23.78],[1.42 1.9  1.21],1.9802,0.1203
1351,4,55000.0,0.0733,[ 0.    7.11 16.61 25.69],[1.9  1.82 1.93 1.81],1.1647,0.097
1352,2,55000.0,0.0709,[ 0.   10.39],[1.33 1.92],1.9109,0.0636
1353,1,55000.0,0.0871,[0],[1.94],1.321,0.1003
1354,4,55000.0,0.0105,[ 0.    9.47 17.34 29.77],[1.63 1.74 1.57 1.73],1.6821,0.1483
1355,4,55000.0,0.0918,[ 0.    6.42 18.81 31.97],[1.27 1.18 1.93 1.37],1.9936,0.032
1356,1,55000.0,0.032,[0],[1.58],1.6918,0.1185
1357,3,55000.0,0.0327,[ 0.    8.55 21.33],[1.06 1.29 1.17],1.8773,0.0256
1358,1,55000.0,0.0916,[0],[1.86],1.7823,0.1444
1359,1,55000.0,0.041,[0],[1.66],1.6927,0.1561
1360,1,55000.0,0.0447,[0],[1.33],1.9339,0.04
1361,1,55000.0,0.0539,[0],[1.91],1.1116,0.0419
1362,2,55000.0,0.0475,[0.   5.47],[1.33 1.25],1.9398,0.0904
1363,3,55000.0,0.0365,[ 0.    9.75 22.67],[1.78 1.53 1.35],1.4289,0.1494
1364,3,55000.0,0.0682,[ 0.   13.27 20.59],[1.8  1.25 1.54],1.5813,0.028
1365,1,55000.0,0.03,[0],[1.52],1.4746,0.1391
1366,4,55000.0,0.073,[ 0.    9.07 22.61 37.27],[1.12 1.37 1.6  1.07],1.6241,0.0555
1367,3,55000.0,0.0808,[ 0.    5.61 11.47],[1.05 1.07 1.74],1.1759,0.0147
1368,3,55000.0,0.0584,[ 0.    6.48 12.95],[1.61 1.26 1.76],1.9974,0.1887
1369,3,55000.0,0.0053,[ 0.    9.27 20.37],[1.17 1.78 1.83],1.5942,0.1634
1370,1,55000.0,0.0667,[0],[1.5],1.1655,0.0549
1371,3,55000.0,0.0752,[ 0.   10.99 17.71],[1.13 1.87 1.89],1.2269,0.148
1372,2,55000.0,0.0859,[0.   9.73],[1.38 1.01],1.9271,0.1452
1373,1,55000.0,0.0456,[0],[1.05],1.3393,0.0304
1374,3,55000.0,0.0255,[ 0.   13.51 25.85],[1.51 1.52 1.68],1.354,0.0104
1375,1,55000.0,0.0202,[0],[1.57],1.7246,0.0587
1376,4,55000.0,0.0847,[ 0.    9.57 23.54 33.34],[1.62 1.48 1.69 1.49],1.3101,0.0851
1377,1,55000.0,0.0389,[0],[1.93],1.5225,0.0976
1378,1,55000.0,0.0393,[0],[1.02],1.0647,0.003
1379,1,55000.0,0.0239,[0],[1.5],1.2773,0.1014
1380,1,55000.0,0.0141,[0],[1.26],1.6505,0.1182
1381,4,55000.0,0.0022,[ 0.    5.03 14.85 23.27],[1.06 1.91 1.34 1.38],1.6481,0.1834
1382,1,55000.0,0.036,[0],[1.96],1.0999,0.0929
1383,2,55000.0,0.016,[ 0.   14.53],[1.66 1.79],1.8179,0.0998
1384,1,55000.0,0.0806,[0],[1.94],1.1665,0.1881
1385,2,55000.0,0.008,[ 0.   11.17],[1.17 1.46],1.703,0.065
1386,1,55000.0,0.0288,[0],[1.05],1.4454,0.1008
1387,1,55000.0,0.0035,[0],[1.99],1.7718,0.044
1388,1,55000.0,0.0594,[0],[1.09],1.6954,0.1623
1389,1,55000.0,0.0057,[0],[1.52],1.9118,0.1898
1390,2,55000.0,0.0644,[0.   6.02],[1.94 1.93],1.5074,0.0435
1391,2,55000.0,0.0918,[ 0.   13.83],[1.03 1.56],1.6199,0.1584
1392,1,55000.0,0.0405,[0],[1.93],1.2821,0.0578
1393,1,55000.0,0.0562,[0],[1.51],1.757,0.1933
1394,1,55000.0,0.0742,[0],[1.12],1.2295,0.0758
1395,3,55000.0,0.0422,[ 0.    6.57 13.21],[1.19 1.61 1.2 ],1.4009,0.0414
1396,1,55000.0,0.087,[0],[1.29],1.3297,0.0258
1397,3,55000.0,0.0345,[ 0.   12.05 18.56],[1.71 1.44 1.86],1.1108,0.1436
1398,4,55000.0,0.0153,[ 0.   14.   27.28 37.93],[1.03 2.   1.35 1.06],1.9654,0.1396
1399,3,55000.0,0.0327,[ 0.    8.75 22.03],[1.16 1.11 1.66],1.2359,0.1503
1400,3,55000.0,0.0198,[ 0.    7.02 20.7 ],[1.57 1.74 1.27],1.9831,0.0835
1401,3,55000.0,0.0716,[ 0.   14.59 20.34],[1.75 1.49 1.63],1.1835,0.0822
1402,1,55000.0,0.0868,[0],[1.34],1.4866,0.0316
1403,1,55000.0,0.0214,[0],[1.66],1.4355,0.0306
1404,1,55000.0,0.0025,[0],[2.],1.6289,0.1334
1405,2,55000.0,0.0238,[0.   8.15],[1.82 1.79],1.258,0.1759
1406,1,55000.0,0.0055,[0],[1.39],1.1648,0.0689
1407,2,55000.0,0.0167,[0.   5.48],[1.35 1.65],1.5484,0.0797
1408,3,55000.0,0.0885,[ 0.   14.64 22.15],[1.96 1.44 1.16],1.4088,0.1949
1409,3,55000.0,0.0613,[ 0.    6.05 16.74],[1.9  1.25 1.62],1.375,0.121
1410,3,55000.0,0.0886,[ 0.    5.27 17.27],[1.08 1.97 1.44],1.8324,0.0487
1411,3,55000.0,0.0328,[ 0.    8.75 15.63],[1.13 1.25 1.83],1.238,0.0009
1412,2,55000.0,0.0509,[0.   7.01],[1.99 1.53],1.7364,0.0125
1413,3,55000.0,0.0483,[ 0.    6.73 15.09],[1.99 1.2  1.8 ],1.1651,0.0365
1414,2,55000.0,0.0644,[ 0.   14.19],[1.07 1.83],1.2914,0.1071
1415,2,55000.0,0.0491,[0.   9.62],[1.96 1.29],1.0019,0.1227
1416,1,55000.0,0.0048,[0],[1.61],1.2326,0.1893
1417,3,55000.0,0.0138,[ 0.   12.74 23.48],[1.59 1.95 1.72],1.8464,0.1989
1418,3,55000.0,0.028,[ 0.   11.94 23.16],[1.13 1.43 1.87],1.0728,0.028
1419,2,55000.0,0.0518,[0.   7.12],[1.31 1.12],1.2868,0.1468
1420,1,55000.0,0.0821,[0],[1.43],1.4335,0.0987
1421,1,55000.0,0.0746,[0],[1.12],1.9438,0.0681
1422,4,55000.0,0.0997,[ 0.   13.49 27.18 35.89],[1.24 1.2  1.09 1.92],1.6592,0.1334
1423,2,55000.0,0.0289,[0.   9.34],[1.11 1.53],1.5407,0.1153
1424,1,55000.0,0.0226,[0],[1.67],1.5372,0.0581
1425,3,55000.0,0.0925,[ 0.    5.48 18.95],[1.88 1.81 1.49],1.3137,0.0412
1426,1,55000.0,0.0937,[0],[1.09],1.45,0.1987
1427,1,55000.0,0.0235,[0],[1.54],1.4024,0.1812
1428,1,55000.0,0.0281,[0],[1.17],1.915,0.0941
1429,4,55000.0,0.0897,[ 0.    6.04 18.41 25.81],[1.32 1.68 1.85 1.43],1.7846,0.0017
1430,1,55000.0,0.0623,[0],[1.1],1.7246,0.1564
1431,1,55000.0,0.0064,[0],[1.43],1.2479,0.0739
1432,1,55000.0,0.0445,[0],[1.72],1.2304,0.1035
1433,1,55000.0,0.0724,[0],[1.54],1.6169,0.099
1434,1,55000.0,0.0915,[0],[1.54],1.3683,0.065
1435,1,55000.0,0.039,[0],[1.84],1.0873,0.107
1436,1,55000.0,0.0429,[0],[1.04],1.9262,0.1513
1437,4,55000.0,0.0226,[ 0.    9.48 24.18 31.56],[1.43 1.24 1.78 1.4 ],1.8135,0.0333
1438,1,55000.0,0.0159,[0],[1.23],1.8168,0.1428
1439,4,55000.0,0.0679,[ 0.    6.23 19.88 33.38],[1.72 1.73 1.39 1.69],1.4353,0.0642
1440,2,55000.0,0.074,[0.   5.96],[1.47 1.61],1.3586,0.0182
1441,1,55000.0,0.0646,[0],[1.77],1.612,0.1275
1442,1,55000.0,0.0291,[0],[1.21],1.0887,0.0095
1443,1,55000.0,0.0743,[0],[1.39],1.4991,0.0063
1444,1,55000.0,0.0129,[0],[1.55],1.82,0.146
1445,1,55000.0,0.0942,[0],[1.88],1.9784,0.145
1446,1,55000.0,0.0822,[0],[1.46],1.2661,0.0756
1447,1,55000.0,0.0441,[0],[1.7],1.7017,0.0351
1448,4,55000.0,0.062,[ 0.    5.66 15.64 25.29],[1.33 1.83 1.03 1.19],1.7674,0.1158
1449,3,55000.0,0.0665,[ 0.    6.09 21.04],[1.98 1.7  1.17],1.2361,0.1301
1450,3,55000.0,0.0743,[ 0.    5.22 18.66],[1.65 1.89 1.46],1.7682,0.0407
1451,3,55000.0,0.0678,[ 0.    7.34 21.17],[1.7  1.16 1.12],1.307,0.0736
1452,1,55000.0,0.0879,[0],[1.86],1.0167,0.0632
1453,1,55000.0,0.0004,[0],[1.77],1.838,0.0018
1454,3,55000.0,0.0612,[ 0.   11.45 24.84],[1.14 2.   1.03],1.2025,0.1796
1455,3,55000.0,0.0691,[ 0.   14.57 26.5 ],[1.93 1.29 1.91],1.4244,0.1985
1456,2,55000.0,0.072,[0.   8.94],[1.   1.93],1.7376,0.1228
1457,4,55000.0,0.0889,[ 0.    6.32 11.67 17.51],[1.12 1.98 1.57 1.48],1.2792,0.1524
1458,2,55000.0,0.0476,[ 0.   14.09],[1.32 1.82],1.603,0.0816
1459,1,55000.0,0.0914,[0],[1.15],1.2836,0.1416
1460,1,55000.0,0.0679,[0],[1.64],1.4847,0.1219
1461,2,55000.0,0.0742,[ 0.   13.68],[1.09 1.56],1.6495,0.1321
1462,1,55000.0,0.0686,[0],[1.76],1.6043,0.1582
1463,1,55000.0,0.0403,[0],[1.07],1.0844,0.1492
1464,2,55000.0,0.0094,[0.  9.8],[1.66 1.35],1.2407,0.048
1465,4,55000.0,0.0155,[ 0.   13.67 19.78 33.93],[1.89 1.93 1.   1.19],1.2692,0.1157
1466,1,55000.0,0.0485,[0],[1.26],1.0874,0.1734
1467,2,55000.0,0.0345,[0.   8.45],[1.6  1.05],1.3917,0.1885
1468,1,55000.0,0.0867,[0],[1.13],1.7726,0.0413
1469,3,55000.0,0.0875,[ 0.   14.04 21.17],[1.39 1.15 1.21],1.4772,0.1152
1470,1,55000.0,0.0255,[0],[1.53],1.6236,0.134
1471,2,55000.0,0.0452,[ 0.   14.58],[1.79 1.09],1.7101,0.1827
1472,1,55000.0,0.0477,[0],[1.39],1.9459,0.0007
1473,2,55000.0,0.0298,[ 0.   13.03],[1.95 1.71],1.2498,0.1788
1474,1,55000.0,0.0688,[0],[1.22],1.0378,0.1651
1475,2,55000.0,0.005,[ 0.   14.16],[1.06 1.77],1.5287,0.1567
1476,2,55000.0,0.0934,[ 0.   14.64],[1.74 1.36],1.1985,0.1137
1477,3,55000.0,0.0297,[ 0.   13.82 23.3 ],[1.18 1.14 1.59],1.2976,0.0852
1478,1,55000.0,0.0796,[0],[1.23],1.5844,0.1103
1479,1,55000.0,0.0361,[0],[1.93],1.9962,0.0499
1480,1,55000.0,0.0036,[0],[1.58],1.1214,0.0421
1481,2,55000.0,0.0678,[0.   9.67],[1.52 1.45],1.0374,0.1749
1482,1,55000.0,0.0958,[0],[1.64],1.2905,0.0798
1483,4,55000.0,0.0245,[ 0.   10.67 22.61 30.2 ],[1.46 1.92 1.49 1.42],1.2976,0.0061
1484,2,55000.0,0.0164,[0.  8.9],[1.51 1.73],1.4288,0.109
1485,1,55000.0,0.0641,[0],[1.62],1.5279,0.1043
1486,1,55000.0,0.0181,[0],[1.36],1.5814,0.0732
1487,2,55000.0,0.0722,[0.   6.79],[1.53 1.92],1.6166,0.0905
1488,1,55000.0,0.08,[0],[1.18],1.6397,0.1476
1489,2,55000.0,0.0241,[ 0.   11.74],[1.41 1.95],1.8108,0.0382
1490,3,55000.0,0.099,[ 0.   13.58 22.15],[1.03 1.56 1.14],1.2821,0.184
1491,1,55000.0,0.038,[0],[1.71],1.126,0.1477
1492,3,55000.0,0.0702,[ 0.   13.89 24.73],[1.17 1.9  1.52],1.5028,0.1757
1493,4,55000.0,0.0698,[ 0.    6.54 19.52 27.77],[1.84 1.97 1.98 1.17],1.984,0.1834
1494,4,55000.0,0.0849,[ 0.   14.22 19.93 32.64],[1.48 1.69 1.73 1.97],1.9676,0.1071
1495,1,55000.0,0.0184,[0],[1.6],1.4672,0.0056
1496,1,55000.0,0.0558,[0],[1.28],1.6925,0.1572
1497,1,55000.0,0.0314,[0],[1.05],1.3035,0.1121
1498,2,55000.0,0.0544,[0.   9.24],[1.69 1.52],1.9606,0.0809
1499,1,55000.0,0.0948,[0],[1.39],1.7627,0.0603
1500,2,55000.0,0.0981,[ 0.   13.59],[1.72 1.74],1.9804,0.0227
1501,4,55000.0,0.0055,[ 0.    8.65 18.06 31.08],[1.77 1.91 1.54 1.89],1.4711,0.0706
1502,1,55000.0,0.0812,[0],[2.],1.3553,0.0417
1503,1,55000.0,0.0036,[0],[2.],1.3178,0.0863
1504,1,55000.0,0.025,[0],[1.19],1.1769,0.1034
1505,4,55000.0,0.0694,[ 0.    7.69 17.37 25.53],[1.14 1.31 1.92 1.56],1.0041,0.0766
1506,1,55000.0,0.0972,[0],[1.77],1.7705,0.1907
1507,2,55000.0,0.0829,[ 0.   14.82],[1.18 1.62],1.4288,0.1088
1508,1,55000.0,0.0818,[0],[1.71],1.7901,0.1228
1509,4,55000.0,0.0405,[ 0.   14.5  22.15 30.21],[1.91 1.1  1.94 1.69],1.2663,0.0942
1510,4,55000.0,0.0456,[ 0.   12.2  21.45 34.55],[1.65 1.59 1.92 1.11],1.1702,0.0518
1511,4,55000.0,0.0364,[ 0.   13.55 19.86 25.89],[1.44 1.68 1.41 1.38],1.7445,0.1727
1512,4,55000.0,0.0475,[ 0.   14.48 28.39 39.17],[1.72 1.7  1.96 1.43],1.165,0.0285
1513,1,55000.0,0.0324,[0],[1.13],1.8791,0.0123
1514,2,55000.0,0.0562,[ 0.   12.03],[1.69 1.35],1.8441,0.1089
1515,4,55000.0,0.002,[ 0.   12.84 24.86 31.9 ],[1.05 1.5  1.05 1.34],1.5474,0.1838
1516,4,55000.0,0.0397,[ 0.   12.21 21.94 32.45],[1.58 1.26 1.93 1.71],1.7253,0.1587
1517,3,55000.0,0.0396,[ 0.   11.92 16.92],[1.31 1.66 1.71],1.7969,0.0057
1518,1,55000.0,0.0947,[0],[1.37],1.957,0.0032
1519,3,55000.0,0.0014,[ 0.    6.73 15.75],[1.12 1.83 1.42],1.1556,0.1906
1520,1,55000.0,0.0758,[0],[1.67],1.3281,0.0692
1521,3,55000.0,0.0087,[ 0.   11.03 25.11],[1.15 1.91 1.73],1.1877,0.1493
1522,4,55000.0,0.0645,[ 0.    7.3  16.28 22.59],[1.73 1.31 1.51 1.35],1.5936,0.0191
1523,4,55000.0,0.0635,[ 0.   12.85 20.67 28.26],[1.26 1.67 1.73 1.63],1.231,0.1291
1524,1,55000.0,0.0674,[0],[1.54],1.0463,0.0645
1525,1,55000.0,0.0338,[0],[1.99],1.9459,0.0457
1526,2,55000.0,0.0075,[0.   8.28],[1.02 1.75],1.5465,0.1962
1527,2,55000.0,0.0882,[0.   5.55],[1.82 1.86],1.7965,0.1546
1528,1,55000.0,0.0702,[0],[1.82],1.9768,0.1155
1529,2,55000.0,0.048,[ 0.   10.09],[1.15 1.27],1.0444,0.0278
1530,4,55000.0,0.0024,[ 0.   11.34 25.83 36.84],[1.56 1.19 1.33 1.48],1.3999,0.1646
1531,1,55000.0,0.0829,[0],[1.9],1.3379,0.0075
1532,3,55000.0,0.0105,[ 0.   14.59 23.67],[1.54 1.95 1.65],1.5577,0.1138
1533,3,55000.0,0.0067,[ 0.    6.59 16.58],[1.54 1.27 1.46],1.5706,0.0661
1534,1,55000.0,0.0772,[0],[1.56],1.602,0.0397
1535,2,55000.0,0.0142,[0.   5.41],[1.45 1.67],1.8152,0.1292
1536,1,55000.0,0.0624,[0],[1.33],1.601,0.1967
1537,1,55000.0,0.0735,[0],[1.52],1.8022,0.1332
1538,1,55000.0,0.015,[0],[1.29],1.2238,0.112
1539,1,55000.0,0.0973,[0],[1.83],1.5627,0.0522
1540,1,55000.0,0.0104,[0],[1.67],1.5524,0.1716
1541,2,55000.0,0.0526,[0.   8.38],[1.3  1.52],1.1383,0.0454
1542,2,55000.0,0.0632,[ 0.   14.14],[1.58 1.1 ],1.8723,0.1887
1543,3,55000.0,0.0423,[ 0.    6.71 14.87],[1.69 1.98 1.79],1.7747,0.1702
1544,4,55000.0,0.0895,[ 0.    5.16 12.75 22.41],[1.1  1.6  1.55 1.59],1.2945,0.1838
1545,4,55000.0,0.0696,[ 0.   14.86 22.71 37.07],[1.41 1.7  1.39 1.98],1.6354,0.1344
1546,1,55000.0,0.0409,[0],[1.59],1.5914,0.0549
1547,4,55000.0,0.061,[ 0.   14.35 28.52 41.36],[1.68 1.32 1.8  1.64],1.1158,0.1618
1548,4,55000.0,0.0898,[ 0.    9.73 22.44 35.31],[1.29 1.62 1.42 1.22],1.1946,0.1371
1549,1,55000.0,0.0947,[0],[1.8],1.6694,0.0423
1550,1,55000.0,0.092,[0],[1.48],1.2922,0.1531
1551,4,55000.0,0.0524,[ 0.   13.93 26.77 35.33],[1.54 1.16 1.05 1.06],1.6438,0.1578
1552,3,55000.0,0.0084,[ 0.    5.6  18.74],[1.78 1.01 1.94],1.2288,0.1581
1553,1,55000.0,0.0379,[0],[1.67],1.3547,0.1935
1554,1,55000.0,0.0187,[0],[1.64],1.4043,0.0539
1555,4,55000.0,0.0323,[ 0.    6.59 13.63 21.98],[1.76 1.78 1.75 1.91],1.887,0.1626
1556,3,55000.0,0.0675,[ 0.    5.51 16.42],[1.26 1.72 1.51],1.6615,0.0415
1557,4,55000.0,0.0283,[ 0.   13.56 19.63 31.98],[1.01 1.87 1.73 1.57],1.0611,0.1967
1558,1,55000.0,0.0242,[0],[1.17],1.8157,0.0527
1559,1,55000.0,0.0662,[0],[1.39],1.7741,0.1383
1560,1,55000.0,0.0996,[0],[1.55],1.1423,0.0728
1561,1,55000.0,0.0259,[0],[1.03],1.6282,0.173
1562,1,55000.0,0.0356,[0],[1.57],1.2834,0.0631
1563,1,55000.0,0.0599,[0],[1.53],1.0728,0.0731
1564,3,55000.0,0.0369,[ 0.   13.84 19.49],[1.99 1.87 1.76],1.0765,0.0491
1565,2,55000.0,0.0373,[ 0.   10.85],[1.94 1.68],1.1519,0.0534
1566,1,55000.0,0.0799,[0],[1.48],1.6105,0.1375
1567,4,55000.0,0.0762,[ 0.   14.93 24.17 30.87],[1.8  1.13 1.86 1.67],1.655,0.026
1568,4,55000.0,0.07,[ 0.   12.27 22.3  32.96],[1.31 1.56 1.66 1.95],1.3465,0.0152
1569,1,55000.0,0.0139,[0],[1.43],1.7153,0.1954
1570,3,55000.0,0.0759,[ 0.   13.39 21.19],[1.7  1.7  1.52],1.2906,0.193
1571,1,55000.0,0.0371,[0],[1.07],1.0003,0.0668
1572,3,55000.0,0.0333,[ 0.   12.91 19.43],[1.25 1.06 1.21],1.3489,0.1053
1573,1,55000.0,0.0414,[0],[1.02],1.0132,0.1623
1574,3,55000.0,0.0892,[ 0.   13.28 24.98],[1.86 1.42 1.85],1.179,0.0096
1575,1,55000.0,0.0172,[0],[1.33],1.2708,0.1338
1576,3,55000.0,0.0876,[ 0.   10.46 22.79],[1.36 1.24 1.48],1.5929,0.0913
1577,4,55000.0,0.0343,[ 0.    8.67 18.86 28.7 ],[1.21 1.3  1.72 1.85],1.6774,0.0965
1578,1,55000.0,0.017,[0],[1.24],1.3505,0.1162
1579,1,55000.0,0.0116,[0],[1.03],1.0019,0.0294
1580,1,55000.0,0.0455,[0],[1.09],1.0322,0.0869
1581,3,55000.0,0.0165,[ 0.   11.25 21.86],[1.3  1.23 1.19],1.396,0.011
1582,1,55000.0,0.0597,[0],[1.7],1.4572,0.1077
1583,2,55000.0,0.0274,[0.   8.26],[1.74 1.89],1.1884,0.1232
1584,2,55000.0,0.0039,[ 0.   13.09],[1.97 1.45],1.9114,0.0777
1585,1,55000.0,0.0113,[0],[1.38],1.5385,0.1745
1586,4,55000.0,0.0638,[ 0.    7.23 13.44 21.45],[1.32 1.03 1.83 1.01],1.5352,0.026
1587,2,55000.0,0.0607,[0.   8.08],[1.9  1.25],1.3109,0.0342
1588,3,55000.0,0.054,[ 0.    6.87 20.8 ],[1.26 1.9  1.88],1.8542,0.0966
1589,3,55000.0,0.0444,[ 0.    6.71 17.4 ],[1.74 1.61 1.34],1.6426,0.0973
1590,2,55000.0,0.0404,[0.   6.49],[1.9  1.81],1.302,0.1782
1591,4,55000.0,0.0009,[ 0.    5.23 15.53 23.56],[1.6  1.46 1.15 1.14],1.6377,0.1519
1592,3,55000.0,0.0215,[ 0.   12.23 21.51],[1.86 1.35 1.87],1.9613,0.1765
1593,1,55000.0,0.0576,[0],[2.],1.1417,0.1687
